Sample	Type
CASE_146746.C1L03	CASE
CASE_149595.C4L01	CASE
CASE_150644.C3L01	CASE
CASE_150689.C3L02	CASE
CASE_154446.C3L03	CASE
CASE_156261.C2L03	CASE
CASE_156389.C2L04	CASE
CASE_158056.C1L02	CASE
CASE_159199.C2L02	CASE
CASE_160020.C2L01	CASE
CASE_160035.C1L04	CASE
CASE_300913.C5L03	CASE
CASE_303231.C8L02	CASE
CASE_303645.C8L04	CASE
CASE_336251.C4L02	CASE
CASE_337484.C5L04	CASE
CASE_338108.C6L02	CASE
CASE_338888.C10L03	CASE
CASE_362506.C10L04	CASE
CASE_380912.C10L02	CASE
CASE_407785.C7L03	CASE
CASE_410897.C6L03	CASE
CASE_413365.C6L01	CASE
CASE_430288.C9L02	CASE
CASE_450048.C4L03	CASE
CASE_453173.C9L01	CASE
CASE_467769.C8L03	CASE
CASE_468668.C5L01	CASE
CASE_476935.C4L04	CASE
CASE_476985.C5L02	CASE
CASE_481978.C3L04	CASE
CASE_482660.C7L02	CASE
CASE_483728.C9L04	CASE
CASE_496545.C6L04	CASE
CASE_497474.C1L01	CASE
CASE_500420.C8L01	CASE
CASE_500664.C7L01	CASE
CASE_503053.C10L01	CASE
CASE_503527.C9L03	CASE
CASE_816787.C7L04	CASE
CTRL_1142963.C4L03	CTRL
CTRL_1143173.C4L03	CTRL
CTRL_1182087.C6L02	CTRL
CTRL_1197590.C9L03	CTRL
CTRL_1230027.C2L03	CTRL
CTRL_1284889.C10L01	CTRL
CTRL_1294268.C7L01	CTRL
CTRL_1302431.C4L02	CTRL
CTRL_149216.C1L02	CTRL
CTRL_149624.C7L01	CTRL
CTRL_157629.C1L03	CTRL
CTRL_159647.C10L02	CTRL
CTRL_287057.C10L03	CTRL
CTRL_301655.C2L04	CTRL
CTRL_329301.C6L01	CTRL
CTRL_331066.C1L02	CTRL
CTRL_335028.C9L02	CTRL
CTRL_338193.C3L03	CTRL
CTRL_352029.C4L01	CTRL
CTRL_352340.C6L02	CTRL
CTRL_356646.C2L01	CTRL
CTRL_359770.C5L01	CTRL
CTRL_383251.C9L03	CTRL
CTRL_398457.C1L01	CTRL
CTRL_400229.C5L03	CTRL
CTRL_406004.C5L04	CTRL
CTRL_425849.C7L02	CTRL
CTRL_436720.C5L01	CTRL
CTRL_439248.C9L04	CTRL
CTRL_444765.C2L04	CTRL
CTRL_467369.C8L03	CTRL
CTRL_476190.C9L01	CTRL
CTRL_479315.C10L03	CTRL
CTRL_486109.C2L03	CTRL
CTRL_498941.C3L03	CTRL
CTRL_511518.C8L02	CTRL
CTRL_533854.C4L04	CTRL
CTRL_534845.C10L04	CTRL
CTRL_545468.C1L04	CTRL
CTRL_550455.C3L04	CTRL
CTRL_550969.C3L02	CTRL
CTRL_552380.C9L01	CTRL
CTRL_560353.C6L03	CTRL
CTRL_563769.C5L03	CTRL
CTRL_563915.C2L01	CTRL
CTRL_600171.C8L01	CTRL
CTRL_600958.C7L02	CTRL
CTRL_604123.C8L04	CTRL
CTRL_610660.C7L04	CTRL
CTRL_634498.C9L02	CTRL
CTRL_638940.C7L04	CTRL
CTRL_640313.C7L03	CTRL
CTRL_641313.C10L02	CTRL
CTRL_646754.C2L02	CTRL
CTRL_648376.C5L04	CTRL
CTRL_649341.C10L04	CTRL
CTRL_650766.C7L03	CTRL
CTRL_686335.C4L04	CTRL
CTRL_686473.C2L02	CTRL
CTRL_690166.C6L04	CTRL
CTRL_696905.C10L01	CTRL
CTRL_701436.C1L04	CTRL
CTRL_713794.C8L02	CTRL
CTRL_762923.C3L02	CTRL
CTRL_793198.C8L04	CTRL
CTRL_793226.C6L01	CTRL
CTRL_795295.C5L02	CTRL
CTRL_795305.C8L03	CTRL
CTRL_820166.C6L04	CTRL
CTRL_854975.C1L03	CTRL
CTRL_859601.C1L01	CTRL
CTRL_865200.C9L04	CTRL
CTRL_870820.C6L03	CTRL
CTRL_871012.C3L04	CTRL
CTRL_877740.C3L01	CTRL
CTRL_970277.C8L01	CTRL
CTRL_981835.C4L02	CTRL
CTRL_WAI143536.C4L01	CTRL
CTRL_WAI158644.C3L01	CTRL
CTRL_WAI160987.C5L02	CTRL
CASE_301920.C13L04	CASE
CASE_301992.C14L03	CASE
CASE_336049.C13L01	CASE
CASE_358235.C11L04	CASE
CASE_361193.C12L03	CASE
CASE_384788.C15L03	CASE
CASE_388900.C13L02	CASE
CASE_392412.C15L04	CASE
CASE_393242.C14L01	CASE
CASE_421133.C11L03	CASE
CASE_440937.C11L01	CASE
CASE_441308.C11L02	CASE
CASE_447395.C12L04	CASE
CASE_478518.C15L01	CASE
CASE_479270.C12L01	CASE
CASE_487437.C12L02	CASE
CASE_506394.C13L03	CASE
CASE_506556.C14L04	CASE
CASE_507551.C14L02	CASE
CASE_820808.C15L02	CASE
CTRL_1145860.C14L01	CTRL
CTRL_1232746.C15L01	CTRL
CTRL_149482.C12L01	CTRL
CTRL_159469.C15L01	CTRL
CTRL_333484.C13L04	CTRL
CTRL_349928.C14L02	CTRL
CTRL_349938.C11L03	CTRL
CTRL_353015.C14L03	CTRL
CTRL_360156.C15L03	CTRL
CTRL_373813.C11L01	CTRL
CTRL_377718.C13L02	CTRL
CTRL_381688.C11L01	CTRL
CTRL_395701.C11L04	CTRL
CTRL_417205.C12L03	CTRL
CTRL_465216.C15L03	CTRL
CTRL_485339.C15L04	CTRL
CTRL_488054.C14L02	CTRL
CTRL_497617.C13L04	CTRL
CTRL_501218.C13L01	CTRL
CTRL_541714.C12L03	CTRL
CTRL_555845.C12L04	CTRL
CTRL_560161.C14L04	CTRL
CTRL_561295.C11L04	CTRL
CTRL_593508.C13L03	CTRL
CTRL_595265.C12L04	CTRL
CTRL_603249.C15L02	CTRL
CTRL_631714.C12L01	CTRL
CTRL_641454.C14L03	CTRL
CTRL_646809.C14L01	CTRL
CTRL_652830.C15L02	CTRL
CTRL_674879.C12L02	CTRL
CTRL_683386.C12L02	CTRL
CTRL_707207.C11L02	CTRL
CTRL_762259.C13L01	CTRL
CTRL_788511.C14L04	CTRL
CTRL_796007.C13L02	CTRL
CTRL_855371.C13L03	CTRL
CTRL_866523.C11L02	CTRL
CTRL_976832.C11L03	CTRL
CTRL_WAI170264.C15L04	CTRL
