Sample	Type
CASE_127_P.C12L01	CASE
CASE_133_P.C12L02	CASE
CASE_135_P.C12L02	CASE
CASE_144_P.C12L02	CASE
CASE_162_P.C12L03	CASE
CASE_167_P.C12L03	CASE
CASE_175_P.C12L03	CASE
CASE_178_P.C14L04	CASE
CASE_205_P.C12L04	CASE
CASE_211_P.C12L04	CASE
CASE_212_P.C12L04	CASE
CASE_216_P.C13L01	CASE
CASE_219_P.C13L01	CASE
CASE_221_P.C13L01	CASE
CASE_231_P.C13L02	CASE
CASE_248_P.C13L02	CASE
CASE_257_P.C13L02	CASE
CASE_263_P.C13L03	CASE
CASE_273_P.C13L03	CASE
CASE_284_P.C13L03	CASE
CASE_298_P.C13L04	CASE
CASE_300_P.C13L04	CASE
CASE_309_P.C14L04	CASE
CASE_310_P.C14L04	CASE
CASE_316_P.C13L04	CASE
CASE_326_P.C14L01	CASE
CASE_329_P.C14L01	CASE
CASE_336_P.C14L01	CASE
CASE_344_P.C14L02	CASE
CASE_348_P.C14L02	CASE
CASE_363_P.C14L02	CASE
CASE_368_P.C14L03	CASE
CASE_374_P.C14L03	CASE
CASE_394_P.C14L03	CASE
CASE_89_P.C12L01	CASE
CASE_95_P.C12L01	CASE
CASE_S_P_77_1.C1L01	CASE
CASE_S_P_88_1.C1L01	CASE
CTRL_P_102_1.C2L04	CTRL
CTRL_P_108_1.C4L04	CTRL
CTRL_P_118_1.C2L04	CTRL
CTRL_P_126_1.C1L04	CTRL
CTRL_P_130_1.C1L04	CTRL
CTRL_P_131_1_C.C1L04	CTRL
CTRL_P_192_1.C3L03	CTRL
CTRL_P_193_1_C.C3L03	CTRL
CTRL_P_194_1.C3L03	CTRL
CTRL_P_214_1.C4L03	CTRL
CTRL_P_220_1.C4L03	CTRL
CTRL_P_223_1.C2L04	CTRL
CTRL_P_226_1.C4L03	CTRL
CTRL_P_227_1.C3L01	CTRL
CTRL_P_242_1.C1L02	CTRL
CTRL_P_245_1.C1L03	CTRL
CTRL_P_247_1.C1L03	CTRL
CTRL_P_251_1.C4L01	CTRL
CTRL_P_252_1.C4L01	CTRL
CTRL_P_254_1.C3L01	CTRL
CTRL_P_255_1.C3L01	CTRL
CTRL_P_257_1.C3L02	CTRL
CTRL_P_260_1.C3L02	CTRL
CTRL_P_280_1.C1L01	CTRL
CTRL_P_281_1.C1L02	CTRL
CTRL_P_286_1.C4L02	CTRL
CTRL_P_287_1.C2L01	CTRL
CTRL_P_288_1.C2L02	CTRL
CTRL_P_290_1.C3L02	CTRL
CTRL_P_297_1.C1L03	CTRL
CTRL_P_298_1.C1L02	CTRL
CTRL_P_309_1.C10L03	CTRL
CTRL_P_311_1.C10L03	CTRL
CTRL_P_312_1.C10L04	CTRL
CTRL_P_313_1.C10L04	CTRL
CTRL_P_314_1.C10L04	CTRL
CTRL_P_325_1.C9L02	CTRL
CTRL_P_326_1.C7L04	CTRL
CTRL_P_329_1.C8L04	CTRL
CTRL_P_332_1.C8L04	CTRL
CTRL_P_333_1.C9L01	CTRL
CTRL_P_339_1.C3L04	CTRL
CTRL_P_340_1.C3L04	CTRL
CTRL_P_342_1.C5L03	CTRL
CTRL_P_352_1.C2L03	CTRL
CTRL_P_356_1.C5L04	CTRL
CTRL_P_359_1.C4L02	CTRL
CTRL_P_363_1.C2L02	CTRL
CTRL_P_366_1.C2L01	CTRL
CTRL_P_367_1.C2L02	CTRL
CTRL_P_370_1.C4L02	CTRL
CTRL_P_372_1.C4L01	CTRL
CTRL_P_373_1.C2L01	CTRL
CTRL_P_379_1.C2L03	CTRL
CTRL_P_392_1.C3L04	CTRL
CTRL_P_393_1.C11L03	CTRL
CTRL_P_395_1.C10L01	CTRL
CTRL_P_399_1.C9L01	CTRL
CTRL_P_400_1.C9L02	CTRL
CTRL_P_401_1.C9L04	CTRL
CTRL_P_408_1.C11L04	CTRL
CTRL_P_409_1.C11L04	CTRL
CTRL_P_411_1.C11L01	CTRL
CTRL_P_414_1.C11L01	CTRL
CTRL_P_417_1.C11L01	CTRL
CTRL_P_418_1.C11L04	CTRL
CTRL_P_428_1.C4L04	CTRL
CTRL_P_429_1.C4L04	CTRL
CTRL_P_430_1.C5L01	CTRL
CTRL_P_433_1.C10L01	CTRL
CTRL_P_436_1.C9L02	CTRL
CTRL_P_438_1.C9L01	CTRL
CTRL_P_442_1.C8L02	CTRL
CTRL_P_445_1.C9L04	CTRL
CTRL_P_446_1.C11L02	CTRL
CTRL_P_451_1.C9L04	CTRL
CTRL_P_452_1.C5L01	CTRL
CTRL_P_455_1.C5L01	CTRL
CTRL_P_456_1.C5L02	CTRL
CTRL_P_457_1.C5L02	CTRL
CTRL_P_460_1.C5L02	CTRL
CTRL_P_466_1.C8L01	CTRL
CTRL_P_467_1.C8L01	CTRL
CTRL_P_472_1.C9L03	CTRL
CTRL_P_473_1.C9L03	CTRL
CTRL_P_477_1.C11L02	CTRL
CTRL_P_480_1.C9L03	CTRL
CTRL_P_484_1.C5L03	CTRL
CTRL_P_486_1.C5L03	CTRL
CTRL_P_489_1.C11L02	CTRL
CTRL_P_492_1.C6L03	CTRL
CTRL_P_498_1.C8L02	CTRL
CTRL_P_499_1.C6L03	CTRL
CTRL_P_504_1.C6L03	CTRL
CTRL_P_505_1.C6L04	CTRL
CTRL_P_508_1.C8L03	CTRL
